Estimated Budgeting for Project Thinkal - Awareness creation and distribution of 2000 M-Cups in the Beed District,,,,,,,,,
Sl. No.,Phase,Detail of Expense,*Item,Qty,Rate,Amount,Total Estimated Financials,,
,,,,,(in Rs),(in Rs),,,
1,Design & Initiation Phase,Cost of M-Cups,"M-Cup : Platinum cured medical grade silicone that 
meets all the Bio compliance standards and technical specifications stipulated by UNFPA.","2,000",159,"3,18,000.00","5,12,381",,
,,Developing Communication materials,"Hand books / Training booklet for Awareness creation about the product, its usage and multi-fold advantages","2,000",15,"30,000.00",,,
,,,"Leaflets for Awareness creation about the product, its usage and multi-fold advantages","2,000",5,"10,000.00",,,
,,,"Training models for M-Cup projects (such as for Uterus, Female reproductive system) by expert medical professionals like doctors, public health specialists etc.",2,"1,000","2,000.00",,,
,,,Audio-visual aids in local specific language to beneficiaries (It also includes a Video about the project explaining the project from start to end),LS,"1,00,000","1,00,000.00",,,
,,,Sensitization & launching of the project (District & local administration of the thrust area),LS,"52,381.00","52,381.00",,,
,,,Total,,,"5,12,381.00",,,
2,Implementation Phase,"Awareness creation(includes logistics, group meeting, camps individual, interactive sessions etc)","Knowledge support of medical professionals like doctors, public health specialists, qualified nurses etc.",1,"40,000","80,000.00","3,90,000",,
,,,,(1 Doctors/ PHS + 1 Nursing),,,,,
,,,Training sessions (50 beneficaries in 1 Training session),41 Classes,500,"12,500.00",,,
,,,"Distribution process (The menstrual Cup will be packed inside a cotton pouch along with the leaflet, A Marati training booklet depicting the menstrual cup & its usage. This will be distributed to direct beneficiaries)","2,000",5,"10,000.00",,,
,,,Trainers remuneration (50 beneficaries in 1 Training session),41 Classes,500,"20,500.00",,,
,,,"Long distance and local travel (Long distance travel is for Project Managers, Project Officer from the head office for monitoring & evaluation of the project. Local Travel - For project associate, who is deployed in the field will be traveling as per the needs of the project will be travelling for liasoning, awareness, Distribution & other related activities related to the project )",,9000,"72,000.00",,,
,,,Total,,,"1,95,000.00",,,
,,Continued support a period of 12 weeks,"Contingency expenses to cover unexpected cost such as delays, additional resources or other unforeseen events","3,000",2,"6,000.00",,,
,,,"Telephone, Internet (for managing call center support by medical professionals i.e To support real-time data collection, monitoring and reporting a field assistant will be engaged, if needed virtual training sessions to support capacity building)","2,000",2,"4,000.00",,,
,,,"For conducting refreshment sessions for the beneficiaries (As per our previous experience in the ground, There will be a need of approximately 20 % to 25 % refreshment sessions out of the total training sessions)",10,500,"5,000.00",,,
,,Digital Platform,,1,100000,"1,00,000.00",,,
,,,Total,,,"1,15,000.00",,,
,,Project management team (Salary and related expenses),,1 Project Head + 1 Project Manager + 1 Project Officers + 1 Finance Officer,,"80,000.00",,,
3,,"Documentation and Follow up study-survey, data analysis and reports","Data collection (Baseline data collection for initial project assessment, Endline data collection to assess the impact)",,,"15,000.00","50,000",,
,,,"Resource Person Remuneration (1 Research Officer, Research Experts as per the need of the project)",,,"20,000.00",,,
,,,Analysis & Report writing,,,"15,000.00",,,
,,,Total,,,"50,000.00",,,
,,Grand Total,,,,"9,52,381.00",,,
,,Adminstrative Expense (@ 5%),,,,"47,619.00",,,
,,Grand Total,,,,"10,00,000.00",,,
"*** The estimated budget against each item will vary accordiung to the actuals, But will be limited to the total project budget",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HLL-THINKAL-Awareness creation & Distribution of Menstrual Cups among sugarcane workers in Maharashtra,,,,,,,,,
,,Particulars,Amount,,,,,,
,,Project Value,"10,00,000.00",,Accounted,,,,
,,Amount Received,"10,00,000.00",,Committed,,,,
,,Expenses accounted,"4,03,769.82",,,,,,
,,Fund Balance,"5,96,230.18",,,,,,
,,Balance Fund after commitment,"3,37,811.18",,,,,,
,,,,,,,,,
Date,Note Number,Particulars,Amount,Status,Status,Budget Head,Phase,Sub Budget Head,Activities
31-01-2026,,5% Admin Charges,"50,000.00",Accounted,Paid,,,,
11-03-2026,,Cotton Pouch-Navam Thayyal,"15,836.00",Accounted,Paid,Project Expense,Design & Initiation Phase,Developing Communication,Procurement of Materials
13-03-2026,,Printing & Stationary(Brochure),"1,003.00",Accounted,Paid,Project Expense,Design & Initiation Phase,Developing Communication,Procurement of Materials
16-03-2026,,Reimbursement(Arathy Vinod)(Trainers Refreshment),"1,060.00",Accounted,Paid,Project Expense,Design & Initiation Phase,Need Assessment,Trainers Refreshment
16-03-2026,,Reimbursement(Arathy Vinod)(Conveyance),"8,143.00",Accounted,Paid,Project Expense,Design & Initiation Phase,Need Assessment,Conveyance
16-03-2026,,Reimbursement(Arathy Vinod)(Postal Charges & Courier),150,Accounted,Paid,Project Expense,Design & Initiation Phase,Need Assessment,Postal & Courier Charge
16-03-2026,,"Printing & Stationary(Printing pouch-4012/-,Leaflet-4012/-)","8,024.00",Accounted,Paid,Project Expense,Design & Initiation Phase,Developing Communication,Procurement of Materials
17-03-2026,,Printing & Stationary(Monocarton),"14,490.00",Accounted,Paid,Project Expense,Design & Initiation Phase,Developing Communication,Procurement of Materials
18-03-2026,,Remuneration to TPC staff(March),"54,605.00",Accounted,Paid,Project Expense,Design & Initiation Phase,Need Assessment,Project Salary
18-03-2026,,Remuneration to TPC staff(March)(Core team),-,,,,,,
