,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sl No,Project Name,Project Type,Project Value,Project Split Up,Value,,,,,,01/25,02/25,03/25,04/25,05/25,06/25,07/25,08/25,09/25,10/25,11/25,12/25,01/26,02/26,03/26,04/26,Total
,1,"Power Grid Corporation of India Limited - Yelahanka, Bangalore (Completed)",CSR,1850100,HMA Core TeamSalary @5%,92505,,,,,,,,,,,,,,,,,,,,,,
,,,,,HR Expenses @5%,92505,,,,,,,,,,,,,,,,,,,,,,
,,,,,HMA Admin Expenses @5%,92505,,,,,,,,,,,,,,,,,,,,,,
,,,,,15% total of Project Value,277515,,,,,,,,,,,,,,,,,,,,,,
,,,,,Project Direct Expenses (i.e 85% total of Project Value),1572585,,,,,,,,,,,,,,,,,,,,,,
,,,,,Project specific salary,546640,,,,,,,,,,,,,,,,,,,,,,
,,,,,Design Phase,633117,,,,,,,,,,,,,,,,,,,,,,
,,,,,Implementation Phase,351117,,,,,,,,,,,,,,,,,,,,,,
,,,,,Monitoring and Evaluation,41711,,,,,,,,,,,,,,,,,,,,,,
,,,,,Surplus,,,,,,,,,,,,,,,,,,,,,,,
